distance_m,stride_frequency_hz,stride_length_m,velocity_m_per_s
10,3.90125,1.3675,5.3349593749999995
20,4.7675,1.91625,9.135721875
30,4.59875,2.36625,10.8817921875
40,4.52,2.4875,11.243499999999997
50,4.671250000000001,2.47875,11.5788609375
60,4.79625,2.39625,11.4930140625
70,4.74625,2.42875,11.527454687499999
80,4.57125,2.5625,11.713828125000001
90,4.45,2.52125,11.219562500000002
100,4.3875,2.55,11.188125
110,4.3419313318619475,2.55,11.071924896247966
120,4.3074373491419,2.55,10.983965240311843
130,4.2813265389622766,2.55,10.917382674353805
